"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "YAML", "comment", "blank", "total"
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\competitorAnalysis.js", "JavaScript", 324, 0, 0, 0, 0, 13, 46, 383
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\competitor_data.json", "JSON", 0, 0, 79, 0, 0, 0, 0, 79
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\custom_commands.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\followProtection.js", "JavaScript", 164, 0, 0, 0, 0, 18, 32, 214
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\moderationManager.js", "JavaScript", 270, 0, 0, 0, 0, 7, 40, 317
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\moderation_data.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\streamAnalytics.js", "JavaScript", 285, 0, 0, 0, 0, 5, 33, 323
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\streamManager.js", "JavaScript", 283, 0, 0, 0, 0, 20, 43, 346
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\stream_analytics.json", "JSON", 0, 0, 91, 0, 0, 0, 0, 91
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\stream_data.json", "JSON", 0, 0, 445, 0, 0, 0, 0, 445
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\twitchClient.js", "JavaScript", 647, 0, 0, 0, 0, 48, 82, 777
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\viewerManager.js", "JavaScript", 160, 0, 0, 0, 0, 5, 24, 189
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\viewer_data.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 30
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\events\eventHandlers.js", "JavaScript", 30, 0, 0, 0, 0, 0, 6, 36
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\events\responseHandler.js", "JavaScript", 133, 0, 0, 0, 0, 3, 16, 152
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\overlays\aiOverlays.js", "JavaScript", 43, 0, 0, 0, 0, 2, 7, 52
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\overlays\overlay.html", "HTML", 0, 0, 0, 34, 0, 1, 2, 37
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\overlays\overlays.js", "JavaScript", 34, 0, 0, 0, 0, 2, 9, 45
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\spotify\songLearning.js", "JavaScript", 131, 0, 0, 0, 0, 13, 17, 161
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\spotify\song_learning.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 38
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\spotify\song_queue.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\spotify\spotify.js", "JavaScript", 300, 0, 0, 0, 0, 25, 48, 373
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\tests\bot.test.js", "JavaScript", 105, 0, 0, 0, 0, 1, 14, 120
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\tests\utils\logger.test.js", "JavaScript", 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\utils\logger.js", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\utils\openai.js", "JavaScript", 74, 0, 0, 0, 0, 7, 11, 92
"Total", "-", 6875, 647, 2754, 34, 22, 402, 1144, 11878
