Date : 2025-01-23 22:57:43
Directory : c:\Users\olen\Documents\Stream\round 2\chatbot
Total : 72 files,  10332 codes, 402 comments, 1144 blanks, all 11878 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\competitor.js       | JavaScript |        118 |          2 |         14 |        134 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\customCommands.js   | JavaScript |        143 |          3 |         30 |        176 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\followProtection.js | JavaScript |         62 |          7 |          9 |         78 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\games.js            | JavaScript |        343 |         14 |         55 |        412 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\index.js            | JavaScript |         71 |          9 |         11 |         91 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\moderation.js       | JavaScript |        115 |         15 |         24 |        154 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\ping.js             | JavaScript |          6 |          0 |          1 |          7 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\queue.js            | JavaScript |        251 |          9 |         33 |        293 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\roast.js            | JavaScript |         60 |          2 |          8 |         70 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\streamInsights.js   | JavaScript |        256 |         28 |         41 |        325 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\viewer.js           | JavaScript |         59 |         10 |          7 |         76 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\competitorAnalysis.js        | JavaScript |        324 |         13 |         46 |        383 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\competitor_data.json         | JSON       |         79 |          0 |          0 |         79 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\custom_commands.json         | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\followProtection.js          | JavaScript |        164 |         18 |         32 |        214 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\moderationManager.js         | JavaScript |        270 |          7 |         40 |        317 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\moderation_data.json         | JSON       |         14 |          0 |          0 |         14 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\streamAnalytics.js           | JavaScript |        285 |          5 |         33 |        323 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\streamManager.js             | JavaScript |        283 |         20 |         43 |        346 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\stream_analytics.json        | JSON       |         91 |          0 |          0 |         91 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\stream_data.json             | JSON       |        445 |          0 |          0 |        445 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\twitchClient.js              | JavaScript |        647 |         48 |         82 |        777 |
| c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\viewerManager.js             | JavaScript |        160 |          5 |         24 |        189 |
